id	text	misogynous	aggressiveness	nps	clean
30	Non ho voglia di lasciare il mio lago x farmi 3 ore fino a Malpensa x la mia tettona...Che palleeeeee...	1	0	Non ho voglia di lasciare il mio lago x farmi 3 ore fino a Malpensa x la mia tettona...Che palleeeeee...	non ho voglia di lasciare il mio lago x farmi 3 ore fino a malpensa x la mia tettona...che palleeeeee...
31	RT @loveyinseok: @agustdoIl Che troia che sei https://t.co/T9PcTOXFbm	1	1	RT @loveyinseok: @agustdoIl Che troia che sei https://t.co/T9PcTOXFbm	rt che troia che sei
32	@SexyRamonaXXX @Martatoia_va Ti sborro sulla lingua ... ovviamente	1	1	@SexyRamonaXXX @Martatoia_va Ti sulla lingua	ti sborro sulla lingua ... ovviamente
33	COME DIVENTARE UN PUTTANONE DA BATTAGLIA!: https://t.co/E7qcbpthn3 tramite @YouTube	1	1	COME DIVENTARE UN PUTTANONE DA BATTAGLIA!: https://t.co/E7qcbpthn3 tramite @YouTube	come diventare un puttanone da battaglia!: tramite
34	#Selvaggilucarelli non sa recitare, non sa ballare, non sa presentare, diciamo che non sa fare nulla e l'unico motivo per cui si trova in tv è perchè è un puttanone che l'ha data a mezzo mondo...	1	1	#Selvaggilucarelli nulla e l'unico motivo per cui si trova in tv perchè è un puttanone che l'ha data a mezzo mondo	#selvaggilucarelli non sa recitare, non sa ballare, non sa presentare, diciamo che non sa fare nulla e l'unico motivo per cui si trova in tv è perchè è un puttanone che l'ha data a mezzo mondo...
35	@cmswllng @erika_battiston Che bella pompinara	1	1	@cmswllng @erika_battiston Che bella pompinara	che bella pompinara
36	@meb Echi se ne frega di te e delle tue amiche tu sei una lurida che si prende un casino di soldi da noi italiani x non fare un cazzo scusa se uso il francese x il mio disappunto nei tuoi confronti ciaonee	1	1	se ne di te e delle tue amiche tu sei una lurida che si prende un casino di soldi da noi italiani x non fare un cazzo scusa se uso il francese x il mio disappunto nei tuoi confronti ciaonee	echi se ne frega di te e delle tue amiche tu sei una lurida che si prende un casino di soldi da noi italiani x non fare un cazzo scusa se uso il francese x il mio disappunto nei tuoi confronti ciaonee
37	Qualsiasi cosa possa aver fatto o detto #RaoulBova, #SelvaggiaLucarelli @stanzaselvaggia si propone sempre per quello che è: una maleducata, villana, acida, pronta a attaccare tutto e tutti per fare show. @Ballando_Rai da lei ricava solo una brutta pubblicità. Peccato. https://t.co/A8gyHpKj0N	1	0	Qualsiasi cosa #RaoulBova, #SelvaggiaLucarelli @stanzaselvaggia si per quello che è una maleducata, villana, acida, pronta a attaccare tutto e tutti per fare show da lei una brutta pubblicità	qualsiasi cosa possa aver fatto o detto #raoulbova, #selvaggialucarelli si propone sempre per quello che è: una maleducata, villana, acida, pronta a attaccare tutto e tutti per fare show. da lei ricava solo una brutta pubblicità. peccato.
38	@GILDA31395269 che bella coda di cavalla da tirare mentre ti inculo	1	1	@GILDA31395269 che bella coda di cavalla da tirare mentre ti inculo	che bella coda di cavalla da tirare mentre ti inculo
39	@GILDA31395269 ed io ti inculo carissima GILDA	1	1	@GILDA31395269 io ti GILDA	ed io ti inculo carissima gilda
40	@WeirdLifeHacks @ChemistryVids_ Il trucco del perfetto puttanone	1	1	@WeirdLifeHacks @ChemistryVids_ Il trucco del perfetto puttanone	il trucco del perfetto puttanone
41	@sole24ore @carlottaventura @MarcoPatuano @poliziadistato ma li sbocchini pe fatte protegge la troia che sei?	1	1	@carlottaventura @MarcoPatuano @poliziadistato ma li sbocchini pe fatte la troia che sei	ma li sbocchini pe fatte protegge la troia che sei?
42	Ti lascio che eri una brava ragazza e ti ritrovo un puttanone #upas	1	1	Ti che eri una brava ragazza e ti ritrovo un puttanone #upas	ti lascio che eri una brava ragazza e ti ritrovo un puttanone #upas
43	fIgA dI lEgNo	1	1	dI lEgNo	figa di legno
44	@scopgdrx scrivimi in dm se vuoi essere sottomessa, troia	1	1	@scopgdrx scrivimi in dm se , troia	scrivimi in dm se vuoi essere sottomessa, troia
45	@riccionecp complimenti cara signora che gran bel culone . Tutto da leccare e succhiare . Mmmmm	1	1	@riccionecp complimenti cara signora che gran bel culone . Tutto da leccare e succhiare .	complimenti cara signora che gran bel culone . tutto da leccare e succhiare . mmmmm
46	@LirosNoble @EdwardRedfern Ma che c'entra il sessimo? Se dico che Weinstein è un puttaniere porco e maniaco sessuale va bene, ma se dico che Selvaggia Lucarelli è un puttanone è sessismo?	1	1	@EdwardRedfern che c' che Weinstein è un puttaniere porco e maniaco sessuale che Selvaggia Lucarelli è un puttanone è sessismo	ma che c'entra il sessimo? se dico che weinstein è un puttaniere porco e maniaco sessuale va bene, ma se dico che selvaggia lucarelli è un puttanone è sessismo?
47	Se scrivi che Weinstein o Trump sono dei porci e dei maniaci tutti applaudono, ma se dici che Selvaggia Lucarelli è un puttanone sei sessista...	1	1	che Weinstein o Trump sono dei porci e dei maniaci tutti che Selvaggia Lucarelli è un puttanone sei sessista	se scrivi che weinstein o trump sono dei porci e dei maniaci tutti applaudono, ma se dici che selvaggia lucarelli è un puttanone sei sessista...
48	@claranderson21 @paulaharrys19 @solewinter Che tettona	1	1	@claranderson21 @paulaharrys19 @solewinter Che tettona	che tettona
49	@ciccicrokki Ma basta co sta dieta.. Metti su un po' di bel culone che magari ti guardano di più, tu che ti lamenti sempre che non trovi da ciulareeee... Ai maschi piace palpareeeee....	1	0	@ciccicrokki co sta dieta.. su un po' di bel culone che magari ti guardano di più, tu che ti lamenti sempre che non trovi da ciulareeee Ai maschi palpareeeee....	ma basta co sta dieta.. metti su un po' di bel culone che magari ti guardano di più, tu che ti lamenti sempre che non trovi da ciulareeee... ai maschi piace palpareeeee....
50	@AliciaLaNena96 sei una figa fantastica ti scoperei volentieri	1	1	sei una figa fantastica ti	sei una figa fantastica ti scoperei volentieri
51	@luinonsospetta Splendida pompinara. Sborrooooo	1	0	@luinonsospetta Splendida pompinara. Sborrooooo	splendida pompinara. sborrooooo
52	Se vai a nanna sereno ...... è  meglio!Buonanotte da quella culona della Momi	1	0	a nanna sereno è  meglio!Buonanotte da quella culona della Momi	se vai a nanna sereno ...... è meglio!buonanotte da quella culona della momi
53	Ci mancava solo lo scandalo col puttanone cubano... #Emigratis	1	1	Ci lo scandalo col puttanone cubano #Emigratis	ci mancava solo lo scandalo col puttanone cubano... #emigratis
54	@carla_milf @luinonsospetta Gita fuori porta con te subito fuori la porta di casa ti inchiappetto e ti trombo e ti sborro sulle tette	1	1	@carla_milf @luinonsospetta Gita fuori porta con te subito fuori la porta di casa ti e ti trombo ti sulle tette	gita fuori porta con te subito fuori la porta di casa ti inchiappetto e ti trombo e ti sborro sulle tette
55	@kathOsceansgdr //non mi ami? Che puttana che sei	1	1	@kathOsceansgdr mi Che puttana che sei	//non mi ami? che puttana che sei
56	@Gianlus990 La culona è una grande Paracelsus falsa e ignorante da far paura!!!	1	0	@Gianlus990 La culona è una grande Paracelsus falsa e ignorante da far paura!!!	la culona è una grande paracelsus falsa e ignorante da far paura!!!
57	@meb Quanto ti scoperei	1	1	Quanto ti	quanto ti scoperei
58	@pisquini69 Buongiorno...grazie e buon martedì anche a te splendida tettona	1	0	@pisquini69 Buongiorno...grazie e buon martedì anche a te splendida tettona	buongiorno...grazie e buon martedì anche a te splendida tettona
59	@coppiaovest @pioggiadoro @publicflashings @amateur_exhibit Buongiorno bella tettona	1	1	@coppiaovest @pioggiadoro @publicflashings @amateur_exhibit Buongiorno bella tettona	buongiorno bella tettona
60	@RobertaFarnese7 @Blue72558004 @bigtitsex @TEAMBIGTITTYS @BigBreastLuver @tettoone @bigtits_hotchix @BigTitAsian @BigBoobModels @esciledaje @TeamEscile @PhicaNetwork @LaItalicaTetta Buongiorno bellissima tettona	1	0	@RobertaFarnese7 @Blue72558004 @bigtitsex @TEAMBIGTITTYS @BigBreastLuver @tettoone @bigtits_hotchix @BigTitAsian @BigBoobModels @esciledaje @TeamEscile @PhicaNetwork @LaItalicaTetta Buongiorno bellissima tettona	buongiorno bellissima tettona
61	@paola_marr Come ho già dett,o se si da del puttaniere, porco maniaco a Weinstein tutte le donne applaudono (comprese quelle che lo hanno opportunisticamente sfruttato). Se invece si da del puttanone a #SelvaggiaLucarelli che voelva fare sesso con Siffred	1	0	@paola_marr ,o se si da del puttaniere, porco maniaco a Weinstein tutte le donne quelle che lo hanno opportunisticamente sfruttato Se invece si da del puttanone a #SelvaggiaLucarelli che voelva sesso con Siffred	come ho già dett,o se si da del puttaniere, porco maniaco a weinstein tutte le donne applaudono (comprese quelle che lo hanno opportunisticamente sfruttato). se invece si da del puttanone a #selvaggialucarelli che voelva fare sesso con siffred
62	@Sary8686 Guardala qua il puttanone ???? https://t.co/SrZValNj1c	1	1	il puttanone https://t.co/SrZValNj1c	guardala qua il puttanone ????
63	@michela_restivo quando vuoi ti sborro ovunque...	1	1	@michela_restivo quando vuoi ti sborro ovunque...	quando vuoi ti sborro ovunque...
64	@1979NERO @lucatelese Ho fatto i masters puro io a Tele'me so'ngroppato a fidanzata de quer frocione de He Man,qua'a pompinara co a coda de cavallo e'e zinne a punta sadomaso	1	1	i masters puro io me a fidanzata de quer frocione de He Man,qua'a pompinara co a coda de cavallo e'e zinne a punta sadomaso	ho fatto i masters puro io a tele'me so'ngroppato a fidanzata de quer frocione de he man,qua'a pompinara co a coda de cavallo e'e zinne a punta sadomaso
65	@Flizzar ho una bionda tettona che mi stalkera, è sempre la stessa ma inspiegabilmente cambia sempre nome.	1	0	@Flizzar una bionda tettona che mi stalkera è sempre la stessa ma inspiegabilmente cambia sempre nome	ho una bionda tettona che mi stalkera, è sempre la stessa ma inspiegabilmente cambia sempre nome.
66	Da curare saranno loro, la culona, che ne dite di ina bella TSO? https://t.co/VMeE6OP7Nn	1	1	Da curare saranno loro, la culona, che ne dite di ina bella TSO? https://t.co/VMeE6OP7Nn	da curare saranno loro, la culona, che ne dite di ina bella tso?
67	RT @Krciys: DONNA SCHIAVA ZITTA E LAVA, la cosa più soddisfacente della mia vita https://t.co/RH3N9SXu2j	1	1	RT @Krciys: DONNA SCHIAVA ZITTA E LAVA, la cosa più soddisfacente della mia vita https://t.co/RH3N9SXu2j	rt donna schiava zitta e lava, la cosa più soddisfacente della mia vita
68	@Giuliettaxxx84 che bel culone da sfondare...sei una gran porca da usare a piacimento e riempire di sborra	1	1	che bel culone da sfondare sei una gran porca da usare a piacimento e riempire di sborra	che bel culone da sfondare...sei una gran porca da usare a piacimento e riempire di sborra
69	@martinahot88 la prossima volta chiama me che oltre a riprenderti di da qualcosa di più duro da infilarti in quel gran pezzo di figa mmmmmmmm sei da infarto	1	1	la prossima volta me che oltre a riprenderti di da qualcosa di più duro da infilarti in quel gran pezzo di figa mmmmmmmm sei da infarto	la prossima volta chiama me che oltre a riprenderti di da qualcosa di più duro da infilarti in quel gran pezzo di figa mmmmmmmm sei da infarto
70	@Io_da_solo @Eleleo8 Quella era compresa e sottointesa sennò i wurstel sappiamo noi dove metterli a sto crucchi iniziando dalla culona!	1	1	Quella i wurstel noi dove metterli a sto crucchi iniziando dalla culona	quella era compresa e sottointesa sennò i wurstel sappiamo noi dove metterli a sto crucchi iniziando dalla culona!
71	@stanzaselvaggia Utente non trovato. La psicopatica si starà mangiando il telefono per quanto le riderà il culo. Sta stronza!	1	0	@stanzaselvaggia Utente La psicopatica si il telefono quanto le il culo Sta stronza!	utente non trovato. la psicopatica si starà mangiando il telefono per quanto le riderà il culo. sta stronza!
72	@giusydiba Ti inculo	1	1	@giusydiba Ti inculo	ti inculo
73	@GILDA31395269 ciao seguimi ti sbatto io come una cagna mentre il.cornuto guarda	1	1	@GILDA31395269 ciao seguimi ti io come una cagna	ciao seguimi ti sbatto io come una cagna mentre il.cornuto guarda
74	@Federic36011668 A chi l hai dedicata alla troia che ti scrive ti amo e sottomessa a quello che vuoi te	1	1	A chi l alla troia che ti scrive ti a quello che vuoi te	a chi l hai dedicata alla troia che ti scrive ti amo e sottomessa a quello che vuoi te
75	@ficamiatop Donna al volante...figa costante... te la leccherei fin quando non godi come una bella zocc... ????	1	1	@ficamiatop Donna al volante...figa costante... te la leccherei fin quando non godi come una bella zocc... ????	donna al volante...figa costante... te la leccherei fin quando non godi come una bella zocc... ????
76	@IsolaDeiFamosi  #isola FUORI LA CULONA https://t.co/qKUw7BUGuc	1	1	@IsolaDeiFamosi  #isola FUORI LA CULONA https://t.co/qKUw7BUGuc	#isola fuori la culona
77	@LunaticaStrega Ti sbatto il cazzo dentro la figa vicino al numero	1	1	Ti il cazzo dentro la figa vicino al numero	ti sbatto il cazzo dentro la figa vicino al numero
78	Un aspirante nuovo re sole, la culona inchiavabile di berlusconiana memoria ed un PIRLA che ha venduto il culo ....dei GRECI. tre shithole. https://t.co/q2SAhXfBsy	1	1	Un aspirante nuovo re sole, la culona inchiavabile di berlusconiana memoria ed un PIRLA che ha venduto il culo ....dei GRECI. tre shithole. https://t.co/q2SAhXfBsy	un aspirante nuovo re sole, la culona inchiavabile di berlusconiana memoria ed un pirla che ha venduto il culo ....dei greci. tre shithole.
79	@LunaDarkHot ciao tesoro buon pm un bacio ? sempre più figa ti scoperei	1	0	@LunaDarkHot ciao tesoro buon pm un bacio ? sempre più figa ti	ciao tesoro buon pm un bacio ? sempre più figa ti scoperei
80	Caro #PD , con la tua strategia da duri e puri assomigli a quel puttanone senza ritegno che, una volta invecchiata, imbruttita e ignorata, si dava arie da verginella sdegnosa e integerrima.	1	0	Caro #PD , con la tua strategia da duri e puri a quel puttanone senza ritegno che, una volta invecchiata, imbruttita e ignorata, si dava arie da verginella sdegnosa e integerrima	caro #pd , con la tua strategia da duri e puri assomigli a quel puttanone senza ritegno che, una volta invecchiata, imbruttita e ignorata, si dava arie da verginella sdegnosa e integerrima.
81	e poi la culona a il coraggio di criticare.	1	0	e poi la culona a il coraggio di criticare.	e poi la culona a il coraggio di criticare.
82	@kal_1979 @beppe_grillo Anche tua mamma e tua sorella sono due gran belle puttanone, la nonnina invece se la sbatteva il cane de li mortacci tua	1	1	@kal_1979 @beppe_grillo Anche tua mamma e tua sorella sono due gran belle puttanone, la nonnina se la il cane de li mortacci tua	anche tua mamma e tua sorella sono due gran belle puttanone, la nonnina invece se la sbatteva il cane de li mortacci tua
83	@SedInvicta @Iosonolagomma Ricordi di aver seguito la prima dieta a 15 anni, quando la mamma di una mia amica mi definì culona.	1	0	@SedInvicta @Iosonolagomma Ricordi di aver seguito la prima dieta a 15 anni, quando la mamma di una mia amica mi definì culona.	ricordi di aver seguito la prima dieta a 15 anni, quando la mamma di una mia amica mi definì culona.
84	Gran tettona mulatta, vorrei bere il suo latte caldo https://t.co/bUdbQZqiyN	1	1	Gran tettona mulatta, il suo latte caldo https://t.co/bUdbQZqiyN	gran tettona mulatta, vorrei bere il suo latte caldo
85	@cercomilf88 9 davvero un bel culone da troione	1	1	@cercomilf88 9 davvero un bel culone da troione	9 davvero un bel culone da troione
86	@cercomilf88 Che pezzo di figa che sei Federica ????	1	0	@cercomilf88 Che pezzo di figa che sei Federica ????	che pezzo di figa che sei federica ????
87	@LunaDarkHot ciao tesoro buona sera e una buona serata ? un bacio ? oggi mi sono andato a fare una bella scopata con una tettona wow	1	0	@LunaDarkHot ciao tesoro buona sera e una buona serata ? un bacio ? mi una bella scopata con una tettona wow	ciao tesoro buona sera e una buona serata ? un bacio ? oggi mi sono andato a fare una bella scopata con una tettona wow
88	@cottytorino Cagnolini, gattini, fiorellini...con quella faccia da troia, ma posta i cazzi	1	1	@cottytorino Cagnolini, gattini, fiorellini...con quella faccia da troia, ma posta i cazzi	cagnolini, gattini, fiorellini...con quella faccia da troia, ma posta i cazzi
89	@CULONAS07 @giusepp53678094 Ma vedi come se li gusta i due cazzi neri sta troia	1	1	@CULONAS07 @giusepp53678094 se li i due cazzi neri troia	ma vedi come se li gusta i due cazzi neri sta troia
90	Susina che figa di legno che sei! #upas	1	1	Susina che figa di legno che sei! #upas	susina che figa di legno che sei! #upas
91	Tua madre è un puttanone turco di merda!!!!!!!!	1	1	Tua madre è un puttanone turco di merda!!!!!!!!	tua madre è un puttanone turco di merda!!!!!!!!
92	@bottega_lo @meb Ma che cazzo c’entra, cogliona esaurita?	1	1	@bottega_lo che cazzo c’	ma che cazzo c’entra, cogliona esaurita?
93	@markorusso69 La gerMAGNA.(E a furia de MAGNA', diventa #Culona) ? https://t.co/zZv0NFZBgA	1	0	@markorusso69 La gerMAGNA.(E a furia de MAGNA', #Culona https://t.co/zZv0NFZBgA	la germagna.(e a furia de magna', diventa #culona) ?
94	@idanymeria Ida mi sa che. Jonathan.  E un paraculo. Pericoloso una vipera .  lo sai chi va in finale. Perme.. Va Francesca la tettona Cipriani	1	0	Ida mi Jonathan.   E un paraculo. Pericoloso una vipera .   lo chi va in finale Perme.. Francesca la tettona Cipriani	ida mi sa che. jonathan. e un paraculo. pericoloso una vipera . lo sai chi va in finale. perme.. va francesca la tettona cipriani
95	@XII_Roxas Infatti furbissima la tettona	1	0	@XII_Roxas Infatti furbissima la tettona	infatti furbissima la tettona
96	Ammazza che culona  #piccolieobesi	1	1	Ammazza che culona   #piccolieobesi	ammazza che culona #piccolieobesi
97	@1979NERO @MedicoC @abusivissimo @dr_A23 @Iusername70 Macciavrà armeno unin fermiera tettona cheffà massagio anali?	1	1	@1979NERO @MedicoC @abusivissimo @dr_A23 @Iusername70 Macciavrà armeno unin fermiera tettona cheffà massagio anali?	macciavrà armeno unin fermiera tettona cheffà massagio anali?
98	@franksee103 Se lo fa speriamo è una bella culona	1	1	@franksee103 Se lo fa speriamo è una bella culona	se lo fa speriamo è una bella culona
99	@Ale_Inter_1986 @juventusfc la tua pssessione guardare gli altri giocarla...grandissima balena puttana!	1	1	la tua pssessione gli altri grandissima balena puttana	la tua pssessione guardare gli altri giocarla...grandissima balena puttana!
100	Bruttina con boccuccia da pompinara https://t.co/qGCSzzS8Kv	1	1	Bruttina con boccuccia da pompinara https://t.co/qGCSzzS8Kv	bruttina con boccuccia da pompinara
101	@speroscherzi_ Concordo in pieno. C'è da dire che sicuramente personaggi del genere non hanno nessun interesse all'altra persona e se quella non acconsente è una figa di legno. Come ci parli con gente così?	1	0	@speroscherzi_ Concordo in pieno. C' personaggi del genere nessun interesse all'altra persona e se quella non acconsente è una figa di legno ci con gente	concordo in pieno. c'è da dire che sicuramente personaggi del genere non hanno nessun interesse all'altra persona e se quella non acconsente è una figa di legno. come ci parli con gente così?
102	@LunaDarkHot @PiediWeb @Feet4Cash @FansClubIonella @M6969Xx @spicylabPROD @Joephotopassion Ti sborro sui piedi?	1	1	@LunaDarkHot @PiediWeb @Feet4Cash @FansClubIonella @M6969Xx Ti sui piedi	ti sborro sui piedi?
103	ELENA MI DICI CHE CAZZO FAI PORCA TROIA NESSUNO TI HA DATO IL PERMESSO https://t.co/soe81CxxHe	1	1	ELENA MI DICI CHE CAZZO FAI PORCA TROIA NESSUNO TI DATO IL PERMESSO https://t.co/soe81CxxHe	elena mi dici che cazzo fai porca troia nessuno ti ha dato il permesso
104	@Ardicapriotiz PUTTANA CHE CAZZO VUOI	1	1	@Ardicapriotiz PUTTANA CHE CAZZO VUOI	puttana che cazzo vuoi
105	@Giuliettaxxx84 quanto stai godendo a vederti sputtanata per la troia che sei?	1	1	quanto per la troia che sei	quanto stai godendo a vederti sputtanata per la troia che sei?
106	@roby90Pd Puttana succhia cazzi	1	1	Puttana cazzi	puttana succhia cazzi
107	@AliciaLaNena96 Ma sei una tettona meravigliosa ?	1	1	@AliciaLaNena96 Ma sei una tettona meravigliosa ?	ma sei una tettona meravigliosa ?
108	@1111scihl È quello che ti meriti, un porco che ti sbatte forte come una cagna in calore..che ti sfonda la figa a colpi di cappella e che ti riempie la figa di sborra calda ???	1	1	@1111scihl È quello che ti meriti, un porco che ti sbatte forte come una cagna in calore..che ti sfonda la figa a colpi di cappella e che ti riempie la figa di sborra calda ???	è quello che ti meriti, un porco che ti sbatte forte come una cagna in calore..che ti sfonda la figa a colpi di cappella e che ti riempie la figa di sborra calda ???
109	La Culona tedesca è un pericolo per la democrazia ⁉️⁉️⁉️ ??? https://t.co/6CJzUYDAYb	1	1	La Culona tedesca è un pericolo per la democrazia ⁉️⁉️⁉️ ??? https://t.co/6CJzUYDAYb	la culona tedesca è un pericolo per la democrazia ⁉️⁉️⁉️ ???
110	@MiyakeEau @elettraglide Troia ,succhiacazzi , infame e comunista	1	1	@MiyakeEau @elettraglide Troia ,succhiacazzi , infame e comunista	troia ,succhiacazzi , infame e comunista
