	id	text	misogynous	aggressiveness	clean
48	49	@ciccicrokki Ma basta co sta dieta.. Metti su un po' di bel culone che magari ti guardano di più, tu che ti lamenti sempre che non trovi da ciulareeee... Ai maschi piace palpareeeee....	1	0	@ciccicrokki co dieta un po' culone che ti tu che ti ciulareeee maschi palpareeeee
49	50	@AliciaLaNena96 sei una figa fantastica ti scoperei volentieri	1	1	una figa ti
50	51	@luinonsospetta Splendida pompinara. Sborrooooo	1	0	pompinara sborrooooo
51	52	Se vai a nanna sereno ...... è  meglio!Buonanotte da quella culona della Momi	1	0	nanna meglio!buonanotte quella culona momi
52	53	Ci mancava solo lo scandalo col puttanone cubano... #Emigratis	1	1	ci lo scandalo puttanone # emigratis
53	54	@carla_milf @luinonsospetta Gita fuori porta con te subito fuori la porta di casa ti inchiappetto e ti trombo e ti sborro sulle tette	1	1	@carla_milf @luinonsospetta gita porta te la porta casa ti ti trombo ti tette
54	55	@kathOsceansgdr //non mi ami? Che puttana che sei	1	1	@kathosceansgdr mi che puttana che
55	56	@Gianlus990 La culona è una grande Paracelsus falsa e ignorante da far paura!!!	1	0	la culona una grande paracelsus paura
56	57	@meb Quanto ti scoperei	1	1	quanto ti
57	58	@pisquini69 Buongiorno...grazie e buon martedì anche a te splendida tettona	1	0	@pisquini69 buongiorno grazie martedì te tettona
58	59	@coppiaovest @pioggiadoro @publicflashings @amateur_exhibit Buongiorno bella tettona	1	1	@pioggiadoro @amateur_exhibit buongiorno tettona
59	60	@RobertaFarnese7 @Blue72558004 @bigtitsex @TEAMBIGTITTYS @BigBreastLuver @tettoone @bigtits_hotchix @BigTitAsian @BigBoobModels @esciledaje @TeamEscile @PhicaNetwork @LaItalicaTetta Buongiorno bellissima tettona	1	0	@bigtitsex @teambigtittys @bigbreastluver @bigtits_hotchix @bigtitasian @bigboobmodels @esciledaje @laitalicatetta buongiorno tettona
60	61	@paola_marr Come ho già dett,o se si da del puttaniere, porco maniaco a Weinstein tutte le donne applaudono (comprese quelle che lo hanno opportunisticamente sfruttato). Se invece si da del puttanone a #SelvaggiaLucarelli che voelva fare sesso con Siffred	1	0	@paola_marr si del puttaniere porco weinstein le donne quelle che lo si del puttanone # selvaggialucarelli selvaggialucarelli che voelva sesso siffred
61	62	@Sary8686 Guardala qua il puttanone ???? https://t.co/SrZValNj1c	1	1	il puttanone https://t.co/srzvalnj1c
62	63	@michela_restivo quando vuoi ti sborro ovunque...	1	1	ti
63	64	@1979NERO @lucatelese Ho fatto i masters puro io a Tele'me so'ngroppato a fidanzata de quer frocione de He Man,qua'a pompinara co a coda de cavallo e'e zinne a punta sadomaso	1	1	i masters io me fidanzata quer frocione he man pompinara co coda cavallo zinne punta sadomaso
64	65	@Flizzar ho una bionda tettona che mi stalkera, è sempre la stessa ma inspiegabilmente cambia sempre nome.	1	0	@flizzar una bionda tettona che mi la stessa nome
65	66	Da curare saranno loro, la culona, che ne dite di ina bella TSO? https://t.co/VMeE6OP7Nn	1	1	loro la culona che ne ina ina bella tso https://t.co/vmee6op7nn
66	67	RT @Krciys: DONNA SCHIAVA ZITTA E LAVA, la cosa più soddisfacente della mia vita https://t.co/RH3N9SXu2j	1	1	rt @krciys donna schiava zitta lava la cosa vita
67	68	@Giuliettaxxx84 che bel culone da sfondare...sei una gran porca da usare a piacimento e riempire di sborra	1	1	che culone una gran porca piacimento sborra
68	69	@martinahot88 la prossima volta chiama me che oltre a riprenderti di da qualcosa di più duro da infilarti in quel gran pezzo di figa mmmmmmmm sei da infarto	1	1	la prossima volta me che qualcosa quel gran pezzo figa mmmmmmmm infarto
69	70	@Io_da_solo @Eleleo8 Quella era compresa e sottointesa sennò i wurstel sappiamo noi dove metterli a sto crucchi iniziando dalla culona!	1	1	quella i wurstel noi culona
70	71	@stanzaselvaggia Utente non trovato. La psicopatica si starà mangiando il telefono per quanto le riderà il culo. Sta stronza!	1	0	@stanzaselvaggia @stanzaselvaggia utente la psicopatica si il telefono quanto le il culo stronza
71	72	@giusydiba Ti inculo	1	1	ti
72	73	@GILDA31395269 ciao seguimi ti sbatto io come una cagna mentre il.cornuto guarda	1	1	@gilda31395269 ciao seguimi ti io una cagna
73	74	@Federic36011668 A chi l hai dedicata alla troia che ti scrive ti amo e sottomessa a quello che vuoi te	1	1	chi l troia che ti ti quello che te
74	75	@ficamiatop Donna al volante...figa costante... te la leccherei fin quando non godi come una bella zocc... ????	1	1	donna volante figa te la leccherei una bella zocc
75	76	@IsolaDeiFamosi  #isola FUORI LA CULONA https://t.co/qKUw7BUGuc	1	1	# isola fuori la culona https://t.co/qkuw7buguc
76	77	@LunaticaStrega Ti sbatto il cazzo dentro la figa vicino al numero	1	1	ti il cazzo la figa al numero
77	78	Un aspirante nuovo re sole, la culona inchiavabile di berlusconiana memoria ed un PIRLA che ha venduto il culo ....dei GRECI. tre shithole. https://t.co/q2SAhXfBsy	1	1	aspirante un aspirante nuovo re la culona memoria un pirla che il culo greci shithole https://t.co/q2sahxfbsy
78	79	@LunaDarkHot ciao tesoro buon pm un bacio ? sempre più figa ti scoperei	1	0	@lunadarkhot ciao tesoro pm un bacio figa ti
79	80	Caro #PD , con la tua strategia da duri e puri assomigli a quel puttanone senza ritegno che, una volta invecchiata, imbruttita e ignorata, si dava arie da verginella sdegnosa e integerrima.	1	0	caro # pd la tua strategia quel puttanone ritegno una volta si arie verginella
80	81	e poi la culona a il coraggio di criticare.	1	0	la culona il coraggio
81	82	@kal_1979 @beppe_grillo Anche tua mamma e tua sorella sono due gran belle puttanone, la nonnina invece se la sbatteva il cane de li mortacci tua	1	1	@beppe_grillo mamma sorella puttanone la nonnina se la il cane li
82	83	@SedInvicta @Iosonolagomma Ricordi di aver seguito la prima dieta a 15 anni, quando la mamma di una mia amica mi definì culona.	1	0	ricordi la prima dieta anni la mamma una mia amica mi culona
83	84	Gran tettona mulatta, vorrei bere il suo latte caldo https://t.co/bUdbQZqiyN	1	1	gran tettona il suo latte https://t.co/budbqzqiyn
84	85	@cercomilf88 9 davvero un bel culone da troione	1	1	@cercomilf88 un bel culone troione
85	86	@cercomilf88 Che pezzo di figa che sei Federica ????	1	0	@cercomilf88 che che pezzo figa che federica
86	87	@LunaDarkHot ciao tesoro buona sera e una buona serata ? un bacio ? oggi mi sono andato a fare una bella scopata con una tettona wow	1	0	@lunadarkhot ciao tesoro sera una buona serata un bacio mi una bella scopata una tettona wow
87	88	@cottytorino Cagnolini, gattini, fiorellini...con quella faccia da troia, ma posta i cazzi	1	1	cagnolini gattini fiorellini quella quella faccia troia i cazzi
88	89	@CULONAS07 @giusepp53678094 Ma vedi come se li gusta i due cazzi neri sta troia	1	1	@culonas07 @giusepp53678094 se li i due cazzi troia
89	90	Susina che figa di legno che sei! #upas	1	1	susina che che figa legno che # upas
90	91	Tua madre è un puttanone turco di merda!!!!!!!!	1	1	tua madre un puttanone merda
91	92	@bottega_lo @meb Ma che cazzo c’entra, cogliona esaurita?	1	1	@bottega_lo che cazzo c’
92	93	@markorusso69 La gerMAGNA.(E a furia de MAGNA', diventa #Culona) ? https://t.co/zZv0NFZBgA	1	0	la germagna.(e furia magna # culona https://t.co/zzv0nfzbga
93	94	@idanymeria Ida mi sa che. Jonathan.  E un paraculo. Pericoloso una vipera .  lo sai chi va in finale. Perme.. Va Francesca la tettona Cipriani	1	0	ida mi jonathan un paraculo una vipera lo chi finale perme francesca la tettona cipriani
94	95	@XII_Roxas Infatti furbissima la tettona	1	0	la tettona
95	96	Ammazza che culona  #piccolieobesi	1	1	ammazza culona # piccolieobesi
96	97	@1979NERO @MedicoC @abusivissimo @dr_A23 @Iusername70 Macciavrà armeno unin fermiera tettona cheffà massagio anali?	1	1	@dr_a23 @iusername70 macciavrà unin fermiera tettona cheffà massagio
97	98	@franksee103 Se lo fa speriamo è una bella culona	1	1	lo una bella culona
98	99	@Ale_Inter_1986 @juventusfc la tua pssessione guardare gli altri giocarla...grandissima balena puttana!	1	1	la tua pssessione gli altri balena
99	100	Bruttina con boccuccia da pompinara https://t.co/qGCSzzS8Kv	1	1	bruttina boccuccia pompinara https://t.co/qgcszzs8kv
100	101	@speroscherzi_ Concordo in pieno. C'è da dire che sicuramente personaggi del genere non hanno nessun interesse all'altra persona e se quella non acconsente è una figa di legno. Come ci parli con gente così?	1	0	concordo pieno c' personaggi genere nessun interesse persona quella una figa legno ci gente
101	102	@LunaDarkHot @PiediWeb @Feet4Cash @FansClubIonella @M6969Xx @spicylabPROD @Joephotopassion Ti sborro sui piedi?	1	1	@piediweb @feet4cash @m6969xx ti piedi
102	103	ELENA MI DICI CHE CAZZO FAI PORCA TROIA NESSUNO TI HA DATO IL PERMESSO https://t.co/soe81CxxHe	1	1	mi dici che cazzo fai porca cazzo fai porca troia nessuno ti dato il il permesso https://t.co/soe81cxxhe
103	104	@Ardicapriotiz PUTTANA CHE CAZZO VUOI	1	1	puttana che cazzo vuoi
104	105	@Giuliettaxxx84 quanto stai godendo a vederti sputtanata per la troia che sei?	1	1	quanto la troia che
105	106	@roby90Pd Puttana succhia cazzi	1	1	puttana cazzi
106	107	@AliciaLaNena96 Ma sei una tettona meravigliosa ?	1	1	una tettona
107	108	@1111scihl È quello che ti meriti, un porco che ti sbatte forte come una cagna in calore..che ti sfonda la figa a colpi di cappella e che ti riempie la figa di sborra calda ???	1	1	@1111scihl quello che ti un porco che ti una cagna calore che ti la figa colpi cappella che ti la figa sborra
108	109	La Culona tedesca è un pericolo per la democrazia ⁉️⁉️⁉️ ??? https://t.co/6CJzUYDAYb	1	1	la culona un pericolo la democrazia ⁉️⁉️⁉️
109	110	@MiyakeEau @elettraglide Troia ,succhiacazzi , infame e comunista	1	1	@miyakeeau troia succhiacazzi
110	111	@giusepp53678094 da morire...wow...sarei capace di farmelo succhiare mentre fai pipì e dopo te lo infilerei a gambe aperte,nella tua figa ancora bagnata	1	1	wow pipì te lo gambe figa
111	112	@CapitanArbano @NuNuZ_00 @annavis08 @Marco_V982 @maurizgor @FLaghezza @SClubsunny @Fuxino89 Potrebbe essere anche Chiara la pompinara	1	1	@annavis08 @flaghezza @fuxino89 chiara la pompinara
112	113	@GILDA31395269 Buongiorno tettona le scopriamo?	1	1	@gilda31395269 buongiorno tettona le
113	114	Bella quanto vuoi però se sei caga cazzi puoi startene nel tuo figa di legno	1	1	quanto cazzi figa legno
114	115	@cercomilf88 Che tettona ?	1	0	@cercomilf88 che che tettona
115	116	@Gabripalermo2 @meb @pdnetwork Ma ti cago in gola	1	1	@gabripalermo2 @meb @pdnetwork ti gola
116	117	@RobertaFarnese7 quando mi farai scopare il tuo bel culo..oltre alla figa e bocca..:-) :-)	1	1	mi tuo il tuo bel culo alla figa bocca
117	118	"RT @marcoarchetti: Vedi quella culona? Sta leggendo Fabio Volo. Io non scrivo per lei. Avremo un pubblico ristretto, ma saremo riconoscibi…"""	1	1	rt @marcoarchetti quella culona fabio volo io lei un pubblico riconoscibi
118	119	@MikaEstrella1 Cerrrto bella puttanona bocchinara rotta in  culo...!!! Come faccio a contattarti ??? Sono di Milano....	1	1	@mikaestrella1 cerrrto puttanona bocchinara culo milano
119	120	@_Francy_Fra_P Bella troina puttanona da sbatterti come un porco	1	1	bella troina un porco
120	121	@duzzo1979 Mammmm che tettona meravigliosa	1	0	@duzzo1979 mammmm tettona
121	122	Mi è piaciuto un video di @YouTube: https://t.co/PBtcli22fy SOFIA JAMORA MODELO CULONA EN BIKINI	1	0	mi un video @youtube https://t.co/pbtcli22fy sofia jamora modelo culona en bikini
122	123	@Lu_si_1 Dale Culona! ?	1	0	dale culona
123	124	@CristinaGatti8 Ok io arrivo e ti inculo tutta mattina	1	1	@cristinagatti8 io ti mattina
124	125	@AntonioColagrec @_beneathsurface @Mishimajakowskj @paulolden1 @turnontheleft @Disciules @MrETP @LuigiBiagini @PeveriMauro @cbennici @Norni2L @mr_brosca @DslLorenzo @LKynes4 @Gianni_Elia @TriderG8 @Euribor_Ghignai @SILVESTRO_74 @SignorErnesto @ulrico_dp @	1	0	@mishimajakowskj @turnontheleft @peverimauro @mr_brosca @dsllorenzo @lkynes4 @gianni_elia @triderg8 @ulrico_dp @
125	126	@wanderinfra aah la preferisci acqua e sapone. io la preferisco più puttanone da combattimento, tipo così https://t.co/zjYCyCAb4e	1	0	@wanderinfra aah la acqua sapone io la più puttanone combattimento tipo https://t.co/zjycycab4e
126	127	@ikigaikyuu veroo, tipo il tizio dai capelli rossi (maronn lo amo) ha fatto tanto per violet però si vedon poco le sue abilità come capo delle doll, oppure la tipa tettona (maronn amo pure lei) insieme alle altre doll, son poco presenti insomma È STRANO	1	0	veroo tipo il tizio capelli maronn lo violet si le sue abilità capo doll la tipa maronn lei alle altre doll strano
127	128	@tuttotuo63 Che bel culone ???	1	1	@tuttotuo63 che che bel culone
128	129	@celebrityhard @mayagoldstar Che pompinara che sei Maya	1	1	@celebrityhard @mayagoldstar che pompinara che maya
129	130	@Robybisessuale ciao tesoro buon pm e un bacio ? ieri mi sono fatto una Bella scopata con un tettona wow che goduria	1	1	ciao @robybisessuale ciao tesoro pm un bacio mi un tettona wow che
130	131	Figa di legno ??? #radio105	1	1	figa legno # radio105
131	132	@olekmonikacp Te lo lecco.ti inculo.te lo riempio	1	1	te lo lecco.ti inculo.te lo
132	133	@_Francy_Fra_P che belle labbra da super pompinara	1	0	labbra pompinara
133	134	@casalbosslino Che puttana ti scoperei sempre hummmm	1	1	ti hummmm
134	135	Porca puttana la mia coinquilina è un cazzo di invertebrato di merda, non so se riesco ad affrontare altri due mesi senza menarla	1	1	puttana la mia coinquilina un cazzo invertebrato merda altri due mesi
135	136	che puttanone mamma mia https://t.co/mTuoPsvAP7	1	1	che puttanone mamma https://t.co/mtuopsvap7
136	137	"@keziahmason1 Due giorni fa mi son dovuto sorbire le lagne di una tettona che aveva male allo sterno al punto da prendere antidolorifici; la mia ex tua omonima, quella a cui piaceva il vecchio porco"", parlava sempre di farsele ridurre. A parte a fare le s"	1	1	giorni mi le lagne una tettona che sterno punto antidolorifici quella cui parte
137	138	@celebrityhard @sexystarMarika bella figa da scopare	1	1	@celebrityhard @celebrityhard @sexystarmarika figa
138	139	@keziahmason1 E per alcune se non hai almeno 25 cm non vai bene. Sono una minoranza, gli uni e le altre. Se poi preferiscono una tettona imbranata a letto, che te ne fai di uomini così tu?	1	1	alcune cm una minoranza gli uni le altre una tettona letto che te ne uomini tu
139	140	@WantToBeASissy Che faccia da troia	1	1	@wanttobeasissy che troia
140	141	Lurida cagna bevicazzi mai una giusta ne hai fatta https://t.co/rnhVRpnrZ7	1	1	lurida cagna ne https://t.co/rnhvrpnrz7
141	142	@luigidimaio alla...CULONA...vuoi dire	1	1	culona
142	143	se confessi ti avere il problma telle crisi ti panico e terrore con me io ti stupro. non farlo	1	1	ti il problma telle crisi ti panico terrore me io ti
143	144	@LombardiMaryann Ti sfonderei il culetto aggiungimi troia	1	1	ti il culetto troia
144	145	@tuttotuo63 Che tettona magnifica!!!!!!	1	0	@tuttotuo63 @tuttotuo63 che che tettona
145	146	Ma senti questa BALDRACCA schifosa  ed assassina, ha la faccia come il culo! e la fanno anche parlare invece di arrestarlo processata e mandarla in galera! Ma dove siamo finiti? https://t.co/YxaVoemYrR	1	1	questa baldracca la faccia il culo la galera
146	147	@FreakLand69 Super tettona?	1	0	super tettona
147	148	"Ancora Espressioni dei  Nuovi Stili di Vita"" Tanto decantati dalla BALDRACCA, GRASSA e Schifosa Comunista, che una volta stava alla ""camera""! https://t.co/mVZ5h3Bysl"""	1	1	espressioni stili vita baldracca grassa schifosa che una volta camera
148	149	@erika_battiston quanto adoro la troia che sei...mi eccita da matti e ti scoperei senza fermarmi	1	1	@erika_battiston quanto la troia che mi matti ti
149	150	Alessandra fai poco la figa che lo sappiamo che mo torni a casa a piangere e poi chiami @corsi_gabriele per avere il numero del palestrato #primoappuntamento	1	0	alessandra la figa che lo casa il numero palestrato # primoappuntamento
150	151	@Greis262 Posso farti io la scuola guida, a ogni errore una punizione Fai spegnere la macchina ? Mi seghi Freni di botto ? Ti inculoGratti la frizione ? Bocchino Ci stai ??????	1	1	io la scuola guida ogni errore una punizione la macchina mi seghi freni botto ti la frizione ci
151	152	@AmandaCobello Ti scoperei tutta... anche con quella maglia schifosa addosso ???	1	1	ti quella maglia
152	153	pora nana vi son video metro rossetticertificati video con calzino ecc ecc ecc haha sei solo na pira troia da tastirmera.che infanga perche psicopatica	1	1	pora nana vi metro video calzino ecc ecc ecc haha na troia tastirmera.che
153	154	Mi segue la tettona...????????	1	0	mi la tettona
154	155	@DashingDiva69 Ti scoperei.... E ti sborro addosso e tu mi vieni in bocca..... ????????	1	1	@dashingdiva69 ti ti tu mi bocca
155	156	@LunaDarkHot @spicylabPROD @SalaoErosPorto @SALONEROTICOBCN @FansClubIonella @M6969Xx @Milf_SexyHot Te lo metterei in bocca in figa nelle tette per una spagnola e nel culo	1	1	@salaoerosporto @fansclubionella @m6969xx @milf_sexyhot te lo bocca figa tette culo
156	157	@Beatric18189620 Buonanotte a te splendida tettona	1	0	buonanotte te tettona
157	158	Basta vado a dormire sto 4/04 mi ha stressato @Beyonce chiattona schifosa DOMANI QUANDO MI ALZO VOGLIO VEDERE QUEL CAZZ DI ALBUM SIAMO INTESI https://t.co/mnak9XAaNC	1	1	mi chiattona domani quando mi alzo voglio vedere quel quel cazz album intesi https://t.co/mnak9xaanc
158	159	@1111scihl Che bel culone	1	0	@1111scihl che che bel culone
159	160	@bradeepo No. Solo uno. La tettona bionda. (Che sfiga eh, proprio lei)	1	0	uno la tettona che sfiga lei
160	161	ma che cazzo di problemi ha mia mamma ad urlare alle 6.40 della mattina?porca troia vuoi chiudere quella figa di bocca????	1	1	cazzo problemi mamma troia quella figa bocca
161	162	@ale_schirru @MaurizioBlondet Eh già già sanzioni a cazzo di cane senza la minima prova comandati come burattini dalla culona e dal pirlon che si tromba la madre	1	1	sanzioni cazzo cane la minima prova burattini culona pirlon che si la madre
162	163	@doppiav86102783 Non mi sembra faccia puttanone?	1	1	mi puttanone
163	164	@duzzo1979 Buongiorno bellissima tettona fatti vedere completamente nuda	1	1	tettona
164	165	@myrtamerlino @Ariachetira @myrtamerlino povera puttana che sei	1	1	@ariachetira puttana che
165	166	Il segreto per posare il proprio culo sull’autobus e non alzarsi per nessuna vecchietta o figa di legno: sedersi attaccati al finestrino e far sedere chiunque accanto a te. Chiunque. #sopravvivereadatacmerda	1	1	il segreto il proprio culo autobus nessuna vecchietta figa legno finestrino chiunque te chiunque # sopravvivereadatacmerda
166	167	@jo19N26 Oltre che nn capire un cazzo 1 sei un camorrista zozzo 2 c hai la mamma puttana 3 la sorella bocchinara 4 va a morì ammazzato tu e tutta la tua lurida città 5 spero che il Vesuvio te bruci vivo figlio della merda	1	1	un cazzo un camorrista la mamma la sorella bocchinara tu la tua lurida città il vesuvio te figlio merda
167	168	@GILDA31395269 Sei una grandissima troia, sono sicuro che ti piace sentirtelo dire mentre ti sbattono	1	1	una grandissima troia ti ti
168	169	"A tutti quelli che si scervellano per scrivere il tweet migliore, ricordo, che, di solito, poi arriva il puttanone di turno che scrive mi fa male il culo"" e subito 2.000 RT."""	1	0	tutti quelli che si il tweet ricordo che solito il puttanone turno che mi il culo rt
169	170	@_Francy_Fra_P Ti scopo dalla mattina alla sera culo e figa	1	1	ti scopo mattina sera culo figa
170	171	@GILDA31395269 Facciamolo cornuto insieme lui guarda e io mi ti inculo	1	1	@gilda31395269 lui io mi ti
171	172	@casalbosslino Ti inculo col mio cazzo duro	1	1	ti cazzo
172	173	Vania sta facendo la paracula but guess what figa di legno e deve sudarsi il mio perdono	1	0	vania la paracula but guess what figa legno il mio perdono
173	174	Ho voglia di succhiare una tettona	1	0	voglia una tettona
174	175	@1111scihl Culona sfondata	1	1	@1111scihl culona
